DateTime,Title_Text
2022-04-14,BTS 군면제 되나…하이브 주가 '꿈틀'
2022-04-15,"장기일반민간임대아파트 '호반써밋 하이브파크' 공급 하이브, ‘매출 67%’ BTS 공백 대비 사업 다각화 안간힘"
2022-04-18,"태그하이브, 인도 시장 진출 가속화 '클래스 사티' 2차 수출 진행"
2022-04-19,"태그하이브, 클래스 사티 2차 수출 진행 '인도시장 진출 가속화'"
2022-04-20,"기관 양 시장 매도세‥하이브 BTS 병역 특례논란으로 하락세 ""BTS 군대 가면 어쩌죠?""…하이브 주식 살까 말까 [주코노미TV]"
2022-04-21,"하이브, 첫 ‘더 시티(THE CITY)’ 성료… 美 라스베이거스 'BTS CITY' 11만4천명 방문 개발호재 풍부한 대구 북구, '호반써밋 하이브파크' 공급"
2022-04-22,"컴투스플랫폼·라티스글로벌, 하이브플랫폼 서비스 확대 협약 컴투스플랫폼, 라티스글로벌과 ‘하이브’ 확대 MOU 하이브 CI, ‘iF 디자인 어워드 2022’ 본상 수상"
2022-04-25,"대구 북구 ‘호반써밋 하이브파크’, 개발호재 수혜 기대 콘서트 재개됐는데 주가는 왜 이래…하이브 19%↓ 에스엠 17%↓"
2022-04-26,"하이브, 주가조정 과도 '매수기회'…2Q 모멘텀 풍부-KB 방탄소년단 6월 컴백…하이브, 실적 레버리지 기대-키움 하이브, BTS 공연 효과 확대 전망-키움증권 KB증권 “하이브, 2분기 모멘텀 풍부…저가 매수 기회” [특징주] 'BTS 컴백' 하이브, 증권가 호평에 강세 입지, 브랜드, 상품성 갖춘 ‘호반써밋 하이브파크’ 주거대안상품으로 주목 너무 많이 떨어졌나…하이브 주가 모처럼 반등 [증시이슈] [엔터Biz-D] 하이브, 3.99%↑…5거래일 만에 반등세 SM·하이브 대표, 빌보드 ‘세계 음악시장 리더’ 선정"
2022-04-27,"대구 롯데마트 부지에 들어서는 ‘호반써밋 하이브파크’, 선착순 동호지정 계약 진행"
2022-04-28,"예스비 하이브센터, 브이투브이와 MOU 통해 당일배송 서비스 구축 교육환경 우수한 대구 ‘호반써밋 하이브파크’, 학부모 수요자 관심 방시혁 하이브 의장, 대중문화계 최초 서울대 명예박사 수여 [뉴시스Pic] [영상] 방시혁이 말하는 BTS·하이브의 생존 역사 방시혁 하이브 의장, 서울대 명예 경영학박사 학위 받아…대중문화계 인사 중 최초"
