,Adjusted_Prediction_Date_Copy,Open,High,Low,Close,Volume,Pre_market_volume,Intraday_volume,After_market_volume,After_hour_volume,trading_value,search_frequency,Institution_Total,Other_Corporations,Individual,Foreign_Total,SMA5,SMA20,MA50,RSI,MACD,Signal_Line,Bollinger_Middle,Bollinger_Upper,Bollinger_Lower,Momentum,VROC,Volatility,Stochastic %K,Stochastic %D,BB_width,Close_Open_diff,KOSPI_Open,KOSPI_Close,NASDAQ_Open,NASDAQ_Close,WTI_Oil_Price,cpi,interest_rate,Exchange_Rate,Average_Sentiment_Score,Recommendation,Lag_0_Sentiment_Score,Lag_1_Sentiment_Score,Lag_2_Sentiment_Score,Lag_3_Sentiment_Score,Lag_4_Sentiment_Score,Lag_5_Sentiment_Score,Lag_6_Sentiment_Score,Lag_7_Sentiment_Score,Target
2022-02-04,,235000,264500,235000,260000,353247,827,"347,335","1,714","3,371","88,312",6.36576,58440.0,1527.0,16822.0,-76789.0,245600.0,277650.0,320340.0,33.18181818181819,-21805.789315255184,-19880.92911012638,277650.0,321601.0493258366,233698.95067416344,-11000.0,96.23089058750334,21975.52466291828,43.884892086330936,21.934233435169677,87902.09865167315,25000,2714.83,2750.26,13958.48046875,14098.009765625,92.30999755859375,105.49285714285715,1.176,1205.4,2.0,1.0,2.0,2.0,3.0,0.6666666666666666,1.0,1.0,1.5,2.0,0
2022-02-07,,262500,262500,246000,249500,330953,381,"329,181",388,"1,003","83,222",5.8613,-12067.0,-464.0,112486.0,-99955.0,245200.0,274425.0,317480.0,31.73913043478261,-21352.701921731234,-20175.283672447353,274425.0,316574.2024023932,232275.79759760678,-2000.0,-23.04814475513744,21074.601201196605,31.25,28.92624256758977,84298.40480478643,-13000,2750.7,2745.06,14118.7900390625,14015.669921875,91.31999969482422,105.56571428571428,1.116,1199.5,2.0,1.0,2.0,2.0,2.0,3.0,0.6666666666666666,1.0,1.0,1.5,1
2022-02-08,2022-02-08,252000,268000,251500,258500,352536,21,"350,823",327,"1,365","91,958",6.33059,27272.0,-923.0,-19676.0,-6673.0,248600.0,272425.0,314930.0,39.05579399141631,-20036.434568722645,-20147.513851702413,272425.0,313547.7622971437,231302.2377028563,17000.0,13.946610555711777,20561.381148571854,45.3125,40.14913069544365,82245.52459428739,6500,2767.76,2746.47,13984.4296875,14194.4501953125,89.36000061035156,105.59,1.217,1199.4,4.0,1.0,4.0,2.0,2.0,2.0,3.0,0.6666666666666666,1.0,1.0,0
2022-02-09,2022-02-09,264000,265000,255500,258000,178164,4,"177,020",99,"1,041","46,080",5.49755,3178.0,2638.0,49968.0,-55784.0,252800.0,270200.0,312380.0,40.26548672566371,-18816.721576266107,-19881.355396615152,270200.0,309233.5887746899,231166.41122531012,21000.0,-56.332888077351996,19516.794387344944,44.53125,40.36458333333334,78067.17754937976,-6000,2772.63,2768.85,14368.16015625,14490.3701171875,89.66000366210938,105.61428571428571,1.226,1197.8,1.0,1.0,1.0,4.0,2.0,2.0,2.0,3.0,0.6666666666666666,1.0,0
2022-02-10,2022-02-10,261000,265000,253000,255000,204104,0,"203,071",196,837,"52,553",4.76145,-40500.0,212.0,35939.0,4349.0,256200.0,268175.0,310040.0,40.08810572687225,-17885.98664968321,-19482.281647228767,268175.0,305861.0647147487,230488.93528525127,17000.0,-1.6219290592811457,18843.032357374363,39.84375,43.22916666666668,75372.12942949744,-6000,2787.44,2771.93,14228.6796875,14185.6396484375,89.87999725341797,105.63857142857142,1.18,1196.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,3.0,0.6666666666666666,0
2022-02-11,2022-02-11,250000,258000,245500,252000,184851,16,"182,314",541,"1,980","46,764",4.30589,-41774.0,427.0,5171.0,36176.0,254600.0,266325.0,307700.0,40.08810572687225,-17192.265705497906,-19024.278458882596,266325.0,303333.2138820136,229316.78611798643,-8000.0,-47.67089317106727,18504.106941006783,35.15625,39.84375000000001,74016.42776402715,2000,2739.14,2747.71,14213.6201171875,13791.150390625,93.0999984741211,105.66285714285715,1.193,1196.0,2.0,1.0,2.0,1.0,1.0,4.0,2.0,2.0,2.0,3.0,1
2022-02-14,2022-02-14,247500,256000,243000,254000,167918,10,"165,325",651,"1,932","41,959",4.18493,962.0,-519.0,-34339.0,33896.0,255500.0,264175.0,305490.0,33.33333333333333,-16293.284729791514,-18478.07971306438,264175.0,298584.7216985032,229765.27830149682,4500.0,-49.262281955443825,17204.8608492516,38.28125,37.76041666666668,68819.44339700637,6500,2715.1,2704.48,13768.9697265625,13790.919921875,95.45999908447266,105.73571428571428,1.254,1199.6,2.0,1.0,2.0,2.0,1.0,1.0,4.0,2.0,2.0,2.0,0
2022-02-15,,254000,254500,237000,239000,299085,13,"293,704","1,005","4,363","72,216",5.63739,-44541.0,163.0,85648.0,-41270.0,251600.0,261550.0,303220.0,29.824561403508767,-16599.857643642143,-18102.43529917993,261550.0,295184.0992384064,227915.9007615936,-19500.0,-15.16185581047042,16817.049619203193,17.117117117117118,30.184872372372382,67268.1984768128,-15000,2712.45,2676.54,13997.1796875,14139.759765625,92.06999969482422,105.75999999999999,1.198,1198.3,2.0,1.0,2.0,2.0,2.0,1.0,1.0,4.0,2.0,2.0,1
2022-02-16,2022-02-16,245000,258500,241500,256500,309210,0,"305,046",351,"3,813","77,953",6.07578,30383.0,533.0,-51801.0,20885.0,251300.0,260175.0,301750.0,41.70040485829959,-15254.86653462323,-17532.921546268593,260175.0,292152.4180189383,228197.58198106175,-1500.0,73.5535798477807,15988.709009469128,51.92307692307693,35.773814680064696,63954.83603787652,11500,2719.61,2729.68,14038.919921875,14124.08984375,93.66000366210938,105.78428571428572,1.198,1198.5,3.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,4.0,2.0,1
2022-02-17,2022-02-17,260000,268500,254000,260000,468439,2,"465,474",503,"2,460","122,902",6.55193,64869.0,1633.0,19129.0,-85631.0,252300.0,259175.0,299860.0,45.45454545454545,-13748.051659641176,-16775.947568943113,259175.0,289762.7082295628,228587.29177043718,5000.0,129.5099557088543,15293.854114781408,70.93023255813954,46.6568088661112,61175.41645912561,0,2735.11,2744.09,14004.1904296875,13716.7197265625,91.76000213623047,105.80857142857143,1.229,1196.9,2.7142857142857144,1.0,2.7142857142857144,3.0,2.0,2.0,2.0,1.0,1.0,4.0,1
2022-02-18,,255500,265000,255000,262500,234132,63,"231,833",980,"1,256","61,046",5.20071,11796.0,464.0,39578.0,-51838.0,254400.0,258425.0,298410.0,55.28846153846153,-12211.395542095182,-15863.037163573528,258425.0,287833.6900869726,229016.3099130274,10500.0,26.659850365970428,14704.345043486312,84.61538461538461,69.1562313655337,58817.38017394522,7000,2714.52,2744.52,13735.400390625,13548.0703125,91.06999969482422,105.83285714285714,1.239,1197.1,2.7142857142857144,1.0,2.7142857142857144,2.7142857142857144,3.0,2.0,2.0,2.0,1.0,1.0,1
2022-02-22,2022-02-22,270000,284000,270000,273500,552605,752,"540,160","1,125","10,568","153,302",8.69416,90429.0,5264.0,50648.0,-146341.0,265600.0,257750.0,295780.0,67.46411483253588,-8013.9963297830545,-13328.1453621112,257750.0,284835.63418026967,230664.36581973033,34500.0,84.76520052827792,13542.817090134828,78.57142857142857,87.01971787078172,54171.26836053934,3500,2705.08,2706.79,13424.3603515625,13381.51953125,92.3499984741211,105.92999999999999,1.257,1194.6,4.0,1.0,4.0,2.7142857142857144,2.7142857142857144,3.0,2.0,2.0,2.0,1.0,1
2022-02-23,2022-02-23,282500,289500,280500,281500,536597,4,"530,900",704,"4,989","152,537",9.90897,59267.0,1321.0,25999.0,-86587.0,270600.0,257575.0,294320.0,69.50672645739911,-5860.706536439364,-11834.657596976833,257575.0,283955.3655056284,231194.6344943716,25000.0,73.53804857540183,13190.18275281421,85.3211009174312,87.25495663813058,52760.73101125681,-1000,2727.43,2719.53,13511.75,13037.490234375,92.0999984741211,105.9542857142857,1.243,1194.7,2.5142857142857142,1.0,2.5142857142857142,4.0,2.7142857142857144,2.7142857142857144,3.0,2.0,2.0,2.0,1
2022-02-24,2022-02-24,279500,289000,277000,283000,461796,249,"455,632",960,"4,955","130,516",8.15195,54657.0,929.0,-12366.0,-43220.0,275200.0,257875.0,292940.0,62.63736263736264,-3987.209330413025,-10265.167943664072,257875.0,285301.21680839476,230448.78319160524,23000.0,-1.4181142048377697,13713.108404197388,87.61904761904762,83.83719236930247,54852.43361678952,3500,2689.28,2648.8,12587.8798828125,13473.58984375,92.80999755859375,105.97857142857143,1.258,1192.1,2.5,1.0,2.5,2.5142857142857142,4.0,2.7142857142857144,2.7142857142857144,3.0,2.0,2.0,1
2022-02-25,2022-02-25,289500,292000,282000,286500,305530,42,"302,632",602,"2,254","87,349",7.06153,31824.0,1737.0,7107.0,-40668.0,280000.0,258650.0,291920.0,72.02380952380952,-2194.729076911928,-8651.080170313642,258650.0,288414.1607165046,228885.83928349536,24000.0,30.494763637606138,14882.080358252319,90.0,87.64671617882628,59528.32143300926,-3000,2678.47,2676.76,13485.259765625,13694.6201171875,91.58999633789062,106.00285714285714,1.284,1199.4,2.0,1.0,2.0,2.5,2.5142857142857142,4.0,2.7142857142857144,2.7142857142857144,3.0,2.0,1
2022-02-28,2022-02-28,285000,289500,280500,288500,230069,571,"226,987","1,187","1,324","66,086",5.79953,-4363.0,-805.0,-12714.0,17882.0,282600.0,260500.0,291060.0,69.48051948051948,-605.8088888194179,-7042.025914014798,260500.0,292877.7051298221,228122.29487017792,13000.0,-51.90262156624995,16188.852564911034,93.63636363636364,90.41847041847042,64755.41025964415,3500,2663.0,2699.18,13570.830078125,13751.400390625,95.72000122070312,106.07571428571428,1.39,1202.7,2.0,1.0,2.0,2.0,2.5,2.5142857142857142,4.0,2.7142857142857144,2.7142857142857144,3.0,0
2022-03-02,,286500,289500,282000,286500,166979,53,"164,383",565,"1,978","47,836",5.41004,-8090.0,1502.0,-10998.0,17586.0,285200.0,262750.0,290140.0,68.15286624203821,486.4312458834611,-5536.334482035147,262750.0,295815.3260905394,229684.6739094606,13000.0,-69.78329910152821,16532.6630452697,90.0,91.21212121212123,66130.6521810788,0,2698.31,2703.52,13597.5302734375,13752.01953125,110.5999984741211,106.12354838709678,1.289,1205.6,2.0,1.0,2.0,2.0,2.0,2.5,2.5142857142857142,4.0,2.7142857142857144,2.7142857142857144,0
2022-03-03,2022-03-03,287500,288000,277000,278500,330762,4,"327,467","1,250","2,041","92,810",6.26538,-74505.0,164.0,80409.0,-6068.0,284600.0,264825.0,289050.0,64.07185628742516,698.454926965409,-4289.376600235036,264825.0,296254.5787603438,233395.42123965622,-3000.0,-38.35932739094702,15714.789380171882,75.45454545454545,86.36363636363637,62859.15752068756,-9000,2729.86,2747.08,13837.58984375,13537.9404296875,107.66999816894531,106.14709677419354,1.249,1205.0,3.0,1.0,3.0,2.0,2.0,2.0,2.5,2.5142857142857142,4.0,2.7142857142857144,0
2022-03-04,2022-03-04,278000,281000,273000,278000,204131,246,"201,382",244,"2,259","56,481",5.19899,-33001.0,-618.0,16462.0,17157.0,283600.0,266825.0,287990.0,66.04938271604938,816.7247064231778,-3268.156338903393,266825.0,296082.9723728156,237567.0276271844,-5000.0,-55.79628234112032,14628.986186407796,74.54545454545455,80.00000000000001,58515.94474563119,0,2736.58,2713.43,13455.23046875,13313.4404296875,115.68000030517578,106.17064516129032,1.191,1203.6,2.0,1.0,2.0,3.0,2.0,2.0,2.0,2.5,2.5142857142857142,4.0,0
2022-03-07,,270500,280500,270000,276500,177007,99,"173,870",389,"2,649","48,954",4.8584,-19102.0,-31.0,4456.0,14677.0,281600.0,267650.0,287020.0,63.9751552795031,780.4206908253836,-2458.440932957638,267650.0,297027.93658334017,238272.06341665983,-10000.0,-42.065590940333195,14688.968291670079,71.81818181818181,73.93939393939395,58755.873166680336,6000,2680.17,2651.31,13328.3603515625,12830.9599609375,119.4000015258789,106.24129032258064,1.228,1211.5,2.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.5,2.5142857142857142,0
2022-03-08,,273000,276500,270000,274000,178639,5,"176,492",502,"1,640","48,922",4.05624,4326.0,-544.0,6479.0,-10261.0,278700.0,268875.0,285760.0,75.73529411764706,543.6534912450588,-1858.0220481170986,268875.0,297086.37321980955,240663.62678019045,-14500.0,-22.354163316222525,14105.686609904771,64.35643564356435,70.24002400240025,56422.746439619106,1000,2617.33,2622.4,12800.0400390625,12795.5498046875,123.69999694824219,106.26483870967742,1.24,1225.4,2.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.5,1
2022-03-10,2022-03-10,280500,287000,279000,285000,243949,0,"239,941","1,114","2,894","69,232",5.32768,53332.0,-135.0,-67361.0,14164.0,278400.0,270200.0,284640.0,73.17073170731707,1229.4495201637037,-1240.5277344609383,270200.0,298845.56546924234,241554.43453075766,-1500.0,46.0956168140904,14322.782734621172,81.57894736842105,72.58452161005575,57291.13093848468,4500,2660.86,2680.32,13098.349609375,13129.9599609375,106.0199966430664,106.31193548387097,1.314,1234.5,3.8,1.0,3.8,2.0,2.0,2.0,3.0,2.0,2.0,2.0,0
2022-03-11,2022-03-11,287000,289500,282000,284000,224499,288,"222,184",620,"1,407","64,115",6.3263,-7060.0,2153.0,14058.0,-9151.0,279500.0,271500.0,283500.0,70.33898305084746,1672.9712007106282,-657.8279474266251,271500.0,300174.2136128579,242825.78638714209,5500.0,-32.126725560977384,14337.106806428963,78.37837837837837,74.77125379678795,57348.42722571583,-3000,2665.95,2661.28,13229.76953125,12843.8095703125,109.33000183105469,106.33548387096774,1.318,1228.7,1.8,1.0,1.8,3.8,2.0,2.0,2.0,3.0,2.0,2.0,1
2022-03-14,2022-03-14,286500,289500,280000,285000,206924,93,"205,282",119,"1,430","58,899",5.77036,-8397.0,-3440.0,-16220.0,28057.0,280900.0,273000.0,282390.0,69.56521739130434,2081.1665777692106,-110.02904238745799,273000.0,301174.2697098652,244825.73029013482,7000.0,1.368239022980341,14087.134854932594,79.71014492753623,79.88915689144523,56348.5394197304,-1500,2654.93,2645.65,12795.1201171875,12581.2197265625,103.01000213623047,106.40612903225806,1.268,1232.4,2.0,1.0,2.0,1.8,3.8,2.0,2.0,2.0,3.0,2.0,0
2022-03-15,2022-03-15,284000,284500,270500,273000,212456,179,"210,147",645,"1,485","58,795",5.75235,-40967.0,-1765.0,47737.0,-5005.0,280200.0,274050.0,281030.0,47.78761061946903,1419.9958153191255,195.97592915385871,274050.0,300437.5967673813,247662.40323261873,-3500.0,20.026891591857947,13193.79838369064,13.636363636363635,57.24162898075943,52775.19353476257,-11000,2630.31,2621.53,12685.23046875,12948.6201171875,96.44000244140625,106.42967741935483,1.243,1238.6,2.0,1.0,2.0,2.0,1.8,3.8,2.0,2.0,2.0,3.0,0
