,Date,Institution_Total,Other_Corporations,Individual,Foreign_Total
213,2023/12/14,-121415,2595,-22705,141525
214,2023/12/13,-7009,-602,-6132,13743
215,2023/12/12,-11572,452,-8774,19894
216,2023/12/11,859,137,-2956,1960
217,2023/12/08,43170,-704,-52347,9881
218,2023/12/07,28824,-403,-9710,-18711
219,2023/12/06,36289,4790,-86176,45097
220,2023/12/05,2670,639,-21591,18282
221,2023/12/04,-16128,401,6493,9234
222,2023/12/01,7680,-3250,-25236,20806
223,2023/11/30,14987,-6036,-29820,20869
224,2023/11/29,7589,842,-10003,1572
225,2023/11/28,29920,291,-19229,-10982
226,2023/11/27,25448,3783,-16436,-12795
227,2023/11/24,45696,1993,5259,-52948
228,2023/11/23,127157,-6977,-148550,28370
229,2023/11/22,9193,-619,-6848,-1726
230,2023/11/21,7979,-164,-56182,48367
231,2023/11/20,13530,2873,-41378,24975
232,2023/11/17,-231245,5736,376522,-151013
233,2023/11/16,-44949,-6111,82420,-31360
234,2023/11/15,4135,909,-43791,38747
235,2023/11/14,-28299,-600,-11096,39995
236,2023/11/13,-91502,-1205,85430,7277
237,2023/11/10,9724,1188,6787,-17699
238,2023/11/09,-45339,-168,57253,-11746
239,2023/11/08,57394,2247,10173,-69814
240,2023/11/07,322571,-2488557,250959,1915027
241,2023/11/06,-6242,1468,-87805,92579
242,2023/11/03,-114911,-1659,205558,-88988
243,2023/11/02,57769,1058,38760,-97587
244,2023/11/01,99586,-3347,-32762,-63477
245,2023/10/31,12443,848,-8356,-4935
246,2023/10/30,10423,1330,-24393,12640
247,2023/10/27,30948,783,-89315,57584
248,2023/10/26,-42588,-2505,183003,-137910
249,2023/10/25,9287,-1360,5508,-13435
250,2023/10/24,-745,-783,-3733,5261
251,2023/10/23,12402,3331,-15344,-389
252,2023/10/20,-20994,270,20524,200
253,2023/10/19,-2931,438,-8266,10759
254,2023/10/18,-1428,194,6961,-5727
255,2023/10/17,2387,679,24293,-27359
256,2023/10/16,20369,-473,2555,-22451
257,2023/10/13,8978,-2045,4513,-11446
258,2023/10/12,25148,5833,-39982,9001
259,2023/10/11,14524,622,-14384,-762
260,2023/10/10,-394,842,-18117,17669
261,2023/10/06,5659,-792,-22989,18122
262,2023/10/05,37,-1074,-53186,54223
263,2023/10/04,-40457,1118,49013,-9674
264,2023/09/27,-3495,562,2672,261
265,2023/09/26,-8356,-1108,-7837,17301
266,2023/09/25,30987,-2224,-119873,91110
267,2023/09/22,-4567,-6224,-15560,26351
268,2023/09/21,-68437,-4597,66752,6282
269,2023/09/20,-49906,693,51231,-2018
270,2023/09/19,-8470,-223,-8161,16854
271,2023/09/18,-3821,-774,20592,-15997
272,2023/09/15,21316,284,4662,-26262
273,2023/09/14,7759,24,-22647,14864
274,2023/09/13,-66,808,17795,-18537
275,2023/09/12,27082,-428,-14521,-12133
276,2023/09/11,-6164,80,3111,2973
277,2023/09/08,-20207,1148,-12036,31095
278,2023/09/07,-21052,1537,-4441,23956
279,2023/09/06,-7979,1629,13691,-7341
280,2023/09/05,-1079,-220,-3766,5065
281,2023/09/04,14184,-932,6971,-20223
282,2023/09/01,29122,1622,-7474,-23270
283,2023/08/31,44547,-1039,-53902,10394
284,2023/08/30,-14306,791,11149,2366
285,2023/08/29,33725,470,-12994,-21201
286,2023/08/28,30704,175,5307,-36186
287,2023/08/25,3420,1013,-21121,16688
288,2023/08/24,-6137,-3146,-1305,10588
289,2023/08/23,-17681,-316,17582,415
290,2023/08/22,-12200,491,7911,3798
291,2023/08/21,-657,-336,-8121,9114
292,2023/08/18,-33457,602,-10790,43645
293,2023/08/17,-60976,-1322,4803,57495
294,2023/08/16,-81923,-1110,26910,56123
295,2023/08/14,-49047,625,13831,34591
296,2023/08/11,-14125,158,31384,-17417
297,2023/08/10,-53998,137,91635,-37774
298,2023/08/09,-76807,1647,163340,-88180
299,2023/08/08,94322,5232,21066,-120620
300,2023/08/07,55519,4136,-2183,-57472
301,2023/08/04,70846,8899,-174743,94998
302,2023/08/03,-43544,531,11673,31340
303,2023/08/02,-42644,630,-7333,49347
304,2023/08/01,-116920,-1255,144127,-25952
305,2023/07/31,-13093,176,-27911,40828
306,2023/07/28,-20667,543,23116,-2992
307,2023/07/27,3768,-1161,-59514,56907
308,2023/07/26,-21294,1993,71723,-52422
309,2023/07/25,23728,-845,-56506,33623
310,2023/07/24,8746,841,-91091,81504
311,2023/07/21,-113627,-117,203315,-89571
312,2023/07/20,29352,-512,-33687,4847
313,2023/07/19,-3894,574,-6412,9732
314,2023/07/18,-12447,801,17074,-5428
315,2023/07/17,25600,1657,-32748,5491
316,2023/07/14,-20715,-3795,10095,14415
317,2023/07/13,-17750,112,80371,-62733
318,2023/07/12,-43807,-2040,43131,2716
319,2023/07/11,-46372,-528,8860,38040
320,2023/07/10,-46298,-5244,143033,-91491
321,2023/07/07,55817,362,-40297,-15882
322,2023/07/06,1399,2071,14531,-18001
323,2023/07/05,-9689,-3000,60071,-47382
324,2023/07/04,-7577,3127,22770,-18320
325,2023/07/03,3779,410,44134,-48323
326,2023/06/30,1555,-2860,41292,-39987
327,2023/06/29,-45500,-651,23293,22858
328,2023/06/28,8471,-5899,15125,-17697
329,2023/06/27,35800,5419,52362,-93581
330,2023/06/26,17067,-262,-358,-16447
331,2023/06/23,35270,946,63471,-99687
332,2023/06/22,122320,3497,-21023,-104794
333,2023/06/21,23065,-18763,16571,-20873
334,2023/06/20,84739,-959,-18403,-65377
335,2023/06/19,25304,1214,-6047,-20471
336,2023/06/16,13088,1635,16108,-30831
337,2023/06/15,82732,6026,-34904,-53854
338,2023/06/14,75286,190,-15044,-60432
339,2023/06/13,77740,0,-25393,-52347
340,2023/06/12,56603,334,-56314,-623
341,2023/06/09,61187,488,-89320,27645
342,2023/06/08,33329,-743,-2569,-30017
343,2023/06/07,6910,-1055,-14544,8689
344,2023/06/05,-36841,402,20857,15582
345,2023/06/02,-11451,-547,64672,-52674
346,2023/06/01,28173,870,-23679,-5364
347,2023/05/31,44264,-2922,-25872,-15470
348,2023/05/30,49033,2279,-37524,-13788
349,2023/05/26,48878,-596,-48925,643
350,2023/05/25,-23749,0,-859,24608
351,2023/05/24,-39962,1298,70383,-31719
352,2023/05/23,-13194,-6593,-25714,45501
353,2023/05/22,-87161,-412,32121,55452
354,2023/05/19,-16321,5581,-18991,29731
355,2023/05/18,-3430,644,6134,-3348
356,2023/05/17,47152,11375,-30754,-27773
357,2023/05/16,36708,-1917,-11700,-23091
358,2023/05/15,-3730,872,11776,-8918
359,2023/05/12,-6966,817,3657,2492
360,2023/05/11,10406,1613,-19200,7181
361,2023/05/10,10628,-727,-15633,5732
362,2023/05/09,-10983,-1079,-14218,26280
363,2023/05/08,-43128,-105,-4485,47718
