,Adjusted_Prediction_Date,Average_Sentiment_Score,Recommendation
295,2023-06-13,2.75,1
296,2023-06-14,3.3333333333333335,1
297,2023-06-15,2.0,1
298,2023-06-16,2.0,1
299,2023-06-19,1.5,1
300,2023-06-21,1.0,1
301,2023-06-22,1.75,1
302,2023-06-23,1.4,1
303,2023-06-26,2.0,1
304,2023-06-27,3.142857142857143,1
305,2023-06-28,2.0,1
306,2023-06-29,2.0,1
307,2023-07-03,2.0,1
308,2023-07-04,0.9,1
309,2023-07-05,-1.0625,0
310,2023-07-06,0.0,0
311,2023-07-07,2.0,1
312,2023-07-10,-2.0,0
313,2023-07-11,0.3333333333333333,1
314,2023-07-12,2.0,1
315,2023-07-13,1.0,1
316,2023-07-14,2.3333333333333335,1
317,2023-07-17,2.6666666666666665,1
318,2023-07-18,1.5,1
319,2023-07-19,2.6666666666666665,1
320,2023-07-20,1.125,1
321,2023-07-21,2.6666666666666665,1
322,2023-07-24,2.6666666666666665,1
323,2023-07-25,3.4,1
324,2023-07-26,5.0,1
325,2023-07-28,1.5,1
326,2023-07-31,1.0,1
327,2023-08-01,1.0,1
328,2023-08-02,2.0,1
329,2023-08-03,-1.0,0
330,2023-08-04,2.7142857142857144,1
331,2023-08-07,2.0,1
332,2023-08-08,2.25,1
333,2023-08-09,1.588235294117647,1
334,2023-08-10,1.3636363636363635,1
335,2023-08-11,1.4285714285714286,1
336,2023-08-14,0.0,0
337,2023-08-16,2.0,1
338,2023-08-17,0.5,1
339,2023-08-18,2.2857142857142856,1
340,2023-08-21,1.0,1
341,2023-08-22,2.5,1
342,2023-08-23,0.5,1
343,2023-08-24,1.5,1
344,2023-08-25,2.0952380952380953,1
345,2023-08-28,2.2,1
346,2023-08-29,2.0,1
347,2023-08-30,2.0,1
348,2023-08-31,2.5,1
349,2023-09-01,2.0,1
350,2023-09-04,2.0,1
351,2023-09-05,2.0,1
352,2023-09-06,2.0,1
353,2023-09-08,2.0,1
354,2023-09-11,2.0,1
355,2023-09-12,0.8333333333333334,1
356,2023-09-13,1.6666666666666667,1
357,2023-09-19,2.0,1
358,2023-09-20,1.0,1
359,2023-09-21,1.7241379310344827,1
360,2023-09-22,0.42857142857142855,1
361,2023-09-25,1.3333333333333333,1
362,2023-09-26,2.6666666666666665,1
363,2023-09-27,2.04,1
364,2023-09-28,1.0,1
365,2023-10-04,1.0,1
366,2023-10-05,0.5,1
367,2023-10-09,1.0,1
368,2023-10-10,2.0,1
369,2023-10-11,0.0,0
370,2023-10-12,2.5,1
371,2023-10-13,2.3636363636363638,1
372,2023-10-16,2.0,1
373,2023-10-19,1.0,1
374,2023-10-20,0.6666666666666666,1
375,2023-10-23,2.0,1
376,2023-10-24,2.75,1
377,2023-10-27,0.75,1
378,2023-10-30,3.0,1
379,2023-10-31,2.0,1
380,2023-11-01,2.0,1
381,2023-11-02,3.130434782608696,1
382,2023-11-03,1.8333333333333333,1
383,2023-11-06,2.25,1
384,2023-11-07,-0.125,0
385,2023-11-08,0.6666666666666666,1
386,2023-11-09,1.0,1
387,2023-11-10,1.5,1
388,2023-11-13,2.25,1
389,2023-11-14,2.0,1
390,2023-11-15,2.3333333333333335,1
391,2023-11-16,2.0,1
392,2023-11-17,1.5,1
393,2023-11-20,-0.6666666666666666,0
394,2023-11-21,1.0,1
395,2023-11-22,2.0,1
396,2023-11-23,2.1666666666666665,1
397,2023-11-24,2.0,1
398,2023-11-27,2.0,1
399,2023-11-30,-0.5,0
400,2023-12-01,1.3333333333333333,1
401,2023-12-06,2.4285714285714284,1
402,2023-12-07,2.0,1
403,2023-12-08,2.0,1
404,2023-12-11,2.0,1
405,2023-12-12,3.0,1
406,2023-12-13,2.0,1
407,2023-12-15,1.0,1
408,2023-12-18,1.5,1
409,2023-12-20,2.0,1
410,2023-12-21,2.3333333333333335,1
411,2023-12-28,2.0,1
412,2023-12-29,0.0,0
413,2024-01-01,3.5,1
